 0 1
0 000 0.8778
1 001 0.8889
2 002 0.8806
3 003 0.875
4 004 0.8722
5 010 0.0444
6 011 0.1028
7 012 0.1056
8 013 0.1222
9 014 0.0722
10 020 0.1556
11 021 0.1472
12 022 0.1528
13 023 0.2083
14 024 0.1556
15 100 0.05
16 101 0.0389
17 102 0.075
18 103 0.0389
19 104 0.0611
20 110 0.8389
21 111 0.8167
22 112 0.7917
23 113 0.7611
24 114 0.8139
25 120 0.1222
26 121 0.0917
27 122 0.1861
28 123 0.1056
29 124 0.1306
30 200 0.2722
31 201 0.2528
32 202 0.2833
33 203 0.2917
34 204 0.3417
35 210 0.1694
36 211 0.1528
37 212 0.1528
38 213 0.1639
39 214 0.1583
40 220 0.8028
41 221 0.7944
42 222 0.7611
43 223 0.8167
44 224 0.7639
