 0 1
0 000 0.9139
1 001 0.9083
2 002 0.9361
3 003 0.9194
4 004 0.9139
5 010 0.1056
6 011 0.1472
7 012 0.0389
8 013 0.0222
9 014 0.0333
10 020 0.2833
11 021 0.2667
12 022 0.2972
13 023 0.3
14 024 0.2972
15 100 0.0028
16 101 0.0139
17 102 0.0278
18 103 0.0444
19 104 0.0639
20 110 0.8639
21 111 0.8556
22 112 0.8778
23 113 0.825
24 114 0.95
25 120 0.0417
26 121 0.0194
27 122 0.0472
28 123 0.0306
29 124 0.0583
30 200 0.3833
31 201 0.3556
32 202 0.3472
33 203 0.375
34 204 0.3694
35 210 0.1389
36 211 0.1778
37 212 0.175
38 213 0.1667
39 214 0.1806
40 220 0.6306
41 221 0.675
42 222 0.6472
43 223 0.6806
44 224 0.6667
