 0 1
0 000 0.9167
1 001 0.8417
2 002 0.9083
3 003 0.9167
4 004 0.8667
5 010 0.45
6 011 0.4
7 012 0.45
8 013 0.4333
9 014 0.425
10 020 0.3417
11 021 0.3417
12 022 0.3417
13 023 0.35
14 024 0.3667
15 100 0.3083
16 101 0.3417
17 102 0.3833
18 103 0.35
19 104 0.4083
20 110 1.0
21 111 0.9833
22 112 0.9833
23 113 0.975
24 114 0.9667
25 120 0.3333
26 121 0.3333
27 122 0.3417
28 123 0.35
29 124 0.325
30 200 0.2417
31 201 0.1583
32 202 0.2333
33 203 0.2167
34 204 0.2083
35 210 0.2917
36 211 0.275
37 212 0.2583
38 213 0.325
39 214 0.275
40 220 0.95
41 221 0.9333
42 222 0.95
43 223 0.9417
44 224 0.925
