 0 1
0 000 0.9167
1 001 0.95
2 002 0.95
3 003 0.95
4 004 0.95
5 010 0.35
6 011 0.3167
7 012 0.4167
8 013 0.3667
9 014 0.3333
10 020 0.4833
11 021 0.35
12 022 0.35
13 023 0.2667
14 024 0.4667
15 100 0.3167
16 101 0.3
17 102 0.6
18 103 0.4833
19 104 0.4167
20 110 0.6667
21 111 0.6833
22 112 0.6667
23 113 0.6333
24 114 0.6167
25 120 0.3167
26 121 0.3333
27 122 0.2667
28 123 0.4
29 124 0.3
30 200 0.4333
31 201 0.4167
32 202 0.45
33 203 0.4167
34 204 0.4333
35 210 0.3
36 211 0.2833
37 212 0.2667
38 213 0.3
39 214 0.25
40 220 0.9333
41 221 0.9333
42 222 0.9333
43 223 0.9333
44 224 0.8833
