 0 1
0 000 0.95
1 001 0.9667
2 002 0.9833
3 003 0.9333
4 004 0.95
5 010 0.4667
6 011 0.4333
7 012 0.35
8 013 0.45
9 014 0.45
10 020 0.45
11 021 0.4333
12 022 0.3833
13 023 0.4167
14 024 0.2333
15 100 0.4333
16 101 0.5333
17 102 0.5333
18 103 0.4
19 104 0.5167
20 110 0.75
21 111 0.7167
22 112 0.7167
23 113 0.7167
24 114 0.6667
25 120 0.35
26 121 0.2833
27 122 0.3167
28 123 0.4167
29 124 0.3667
30 200 0.45
31 201 0.4333
32 202 0.45
33 203 0.4
34 204 0.4333
35 210 0.3667
36 211 0.3
37 212 0.35
38 213 0.2667
39 214 0.3667
40 220 0.9
41 221 0.9333
42 222 0.9167
43 223 0.9167
44 224 0.9167
