 0 1
0 000 0.9556
1 001 0.9389
2 002 0.9556
3 003 0.9528
4 004 0.9694
5 010 0.8083
6 011 0.8194
7 012 0.8389
8 013 0.8361
9 014 0.8306
10 020 0.8056
11 021 0.8222
12 022 0.8278
13 023 0.825
14 024 0.8083
15 100 0.8722
16 101 0.8389
17 102 0.8639
18 103 0.8444
19 104 0.85
20 110 0.9528
21 111 0.9444
22 112 0.9472
23 113 0.9444
24 114 0.9583
25 120 0.7833
26 121 0.7472
27 122 0.775
28 123 0.7472
29 124 0.75
30 200 0.8333
31 201 0.85
32 202 0.8528
33 203 0.8472
34 204 0.8139
35 210 0.7417
36 211 0.7917
37 212 0.7722
38 213 0.7778
39 214 0.7694
40 220 0.9444
41 221 0.9556
42 222 0.9639
43 223 0.9639
44 224 0.9556
