 0 1
0 000 0.9667
1 001 0.8667
2 002 0.8667
3 003 0.75
4 004 0.8833
5 010 0.95
6 011 0.95
7 012 0.9333
8 013 0.9667
9 014 0.95
10 020 0.7
11 021 0.75
12 022 0.7333
13 023 0.7333
14 024 0.55
15 100 0.9
16 101 0.8333
17 102 0.8333
18 103 0.85
19 104 0.85
20 110 0.9667
21 111 0.9667
22 112 0.95
23 113 0.9667
24 114 0.9833
25 120 1.0
26 121 1.0
27 122 1.0
28 123 1.0
29 124 1.0
30 200 0.7667
31 201 0.65
32 202 0.6833
33 203 0.7167
34 204 0.75
35 210 1.0
36 211 1.0
37 212 1.0
38 213 1.0
39 214 1.0
40 220 0.6167
41 221 0.6167
42 222 0.6167
43 223 0.55
44 224 0.6667
